epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,879.716,1.40014,2.67284,1.47787,0.54293,0.21886,0.2948,0.16714,1.40522,3.04391,1.63158,0.000463459,0.000463459,0.000463459
2,1397.08,1.51439,2.27658,1.52957,0.28345,0.26629,0.19554,0.0924,1.72705,3.19766,1.90465,0.000921185,0.000921185,0.000921185
3,1947.48,1.52064,2.22693,1.55238,0.33475,0.23598,0.16353,0.09716,1.71334,3.42902,2.08157,0.00136005,0.00136005,0.00136005
4,2456.11,1.52825,2.14521,1.53716,0.33739,0.35551,0.28033,0.1421,1.71422,3.36678,2.02945,0.00134412,0.00134412,0.00134412
5,2954.06,1.54265,2.07978,1.53411,0.32355,0.24254,0.22614,0.09758,1.74816,3.13637,2.17994,0.00131582,0.00131582,0.00131582
6,3554.47,1.51631,1.98535,1.52758,0.41115,0.39107,0.31186,0.16722,1.62071,2.62295,1.81321,0.00128753,0.00128753,0.00128753
7,4052.56,1.46846,1.86217,1.4805,0.28851,0.35937,0.25494,0.13683,1.58162,2.93226,1.80287,0.00125923,0.00125923,0.00125923
8,4589.16,1.44023,1.84629,1.47221,0.36305,0.39197,0.31507,0.17197,1.56772,2.60131,1.76505,0.00123094,0.00123094,0.00123094
9,5129.97,1.47764,1.80696,1.49604,0.36572,0.48193,0.34136,0.18238,1.55609,2.87829,1.73189,0.00120265,0.00120265,0.00120265
10,5803.09,1.45567,1.69069,1.45876,0.39623,0.4336,0.32328,0.16802,1.48553,2.1366,1.59897,0.00117435,0.00117435,0.00117435
11,6494.23,1.44128,1.72292,1.45957,0.25281,0.40385,0.21321,0.10001,1.83572,2.73267,1.91933,0.00114606,0.00114606,0.00114606
12,7311.02,1.41665,1.63449,1.44082,0.29166,0.35283,0.23936,0.11773,1.6481,2.56712,1.73397,0.00111776,0.00111776,0.00111776
13,8035.56,1.39327,1.5808,1.43104,0.49806,0.45746,0.41655,0.23057,1.52853,1.94967,1.64191,0.00108947,0.00108947,0.00108947
14,8897.37,1.35715,1.50327,1.40676,0.49967,0.42478,0.32901,0.17315,1.56854,2.1738,1.67911,0.00106118,0.00106118,0.00106118
15,9548.52,1.36068,1.47018,1.39833,0.58635,0.37052,0.42207,0.23887,1.50749,1.89263,1.65764,0.00103288,0.00103288,0.00103288
16,10176.7,1.32891,1.4434,1.37636,0.64038,0.48014,0.51501,0.29204,1.47192,1.69071,1.58892,0.00100459,0.00100459,0.00100459
17,10733,1.35241,1.45141,1.40329,0.49981,0.54551,0.45414,0.26289,1.46077,1.76403,1.6105,0.000976293,0.000976293,0.000976293
18,11462.8,1.30511,1.34352,1.3796,0.44681,0.5566,0.4558,0.26314,1.42583,1.73841,1.55851,0.000947999,0.000947999,0.000947999
19,12095.4,1.28307,1.34756,1.37394,0.46809,0.45091,0.39222,0.23063,1.44825,1.89739,1.55451,0.000919704,0.000919704,0.000919704
20,12650.2,1.31861,1.30726,1.35847,0.61049,0.54575,0.5131,0.31075,1.40346,1.67648,1.53795,0.00089141,0.00089141,0.00089141
21,13181.4,1.25477,1.24437,1.30712,0.44454,0.53796,0.44235,0.25411,1.5236,1.6744,1.62087,0.000863116,0.000863116,0.000863116
22,13701.7,1.24915,1.19885,1.33929,0.52405,0.59599,0.50075,0.29095,1.42763,1.58355,1.55627,0.000834822,0.000834822,0.000834822
